"Hora del RTC DS3231	 Temperatura	 Índice UV	 Rango"
"Hora: 9:45:47	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:45:48	 - Temperatura: 32	 - Índice UV 1	 - Rango: 196"
"Hora: 9:45:49	 - Temperatura: 32	 - Índice UV 1	 - Rango: 191"
"Hora: 9:45:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:45:51	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:45:52	 - Temperatura: 32	 - Índice UV 2	 - Rango: 216"
"Hora: 9:45:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 207"
"Hora: 9:45:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:45:55	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:45:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 203"
"Hora: 9:45:57	 - Temperatura: 32	 - Índice UV 1	 - Rango: 196"
"Hora: 9:45:58	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:45:59	 - Temperatura: 32	 - Índice UV 1	 - Rango: 203"
"Hora: 9:46:0	 - Temperatura: 32	 - Índice UV 1	 - Rango: 193"
"Hora: 9:46:1	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:46:2	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:46:3	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:46:5	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:46:6	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:46:7	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:46:8	 - Temperatura: 32	 - Índice UV 1	 - Rango: 192"
"Hora: 9:46:9	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:46:10	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:46:11	 - Temperatura: 32	 - Índice UV 1	 - Rango: 192"
"Hora: 9:46:12	 - Temperatura: 32	 - Índice UV 1	 - Rango: 186"
"Hora: 9:46:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 190"
"Hora: 9:46:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:46:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 196"
"Hora: 9:46:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:46:17	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:46:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 181"
"Hora: 9:46:19	 - Temperatura: 32	 - Índice UV 1	 - Rango: 185"
"Hora: 9:46:20	 - Temperatura: 32	 - Índice UV 1	 - Rango: 186"
"Hora: 9:46:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:46:22	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:46:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:46:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:46:25	 - Temperatura: 32	 - Índice UV 2	 - Rango: 238"
"Hora: 9:46:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:46:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 241"
"Hora: 9:46:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:46:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 237"
"Hora: 9:46:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 240"
"Hora: 9:46:31	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:46:32	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:46:33	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:46:34	 - Temperatura: 32	 - Índice UV 2	 - Rango: 238"
"Hora: 9:46:35	 - Temperatura: 32	 - Índice UV 2	 - Rango: 257"
"Hora: 9:46:36	 - Temperatura: 32	 - Índice UV 2	 - Rango: 256"
"Hora: 9:46:37	 - Temperatura: 32	 - Índice UV 2	 - Rango: 252"
"Hora: 9:46:38	 - Temperatura: 32	 - Índice UV 2	 - Rango: 250"
"Hora: 9:46:39	 - Temperatura: 32	 - Índice UV 2	 - Rango: 245"
"Hora: 9:46:40	 - Temperatura: 32	 - Índice UV 2	 - Rango: 239"
"Hora: 9:46:41	 - Temperatura: 32	 - Índice UV 2	 - Rango: 255"
"Hora: 9:46:42	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:46:43	 - Temperatura: 32	 - Índice UV 2	 - Rango: 242"
"Hora: 9:46:44	 - Temperatura: 32	 - Índice UV 0	 - Rango: 41"
"Hora: 9:46:45	 - Temperatura: 32	 - Índice UV 0	 - Rango: 20"
"Hora: 9:46:46	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:46:47	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:46:48	 - Temperatura: 32	 - Índice UV 0	 - Rango: 52"
"Hora: 9:46:49	 - Temperatura: 32	 - Índice UV 2	 - Rango: 253"
"Hora: 9:46:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 251"
"Hora: 9:46:51	 - Temperatura: 32	 - Índice UV 2	 - Rango: 250"
"Hora: 9:46:52	 - Temperatura: 32	 - Índice UV 2	 - Rango: 250"
"Hora: 9:46:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:46:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:46:55	 - Temperatura: 32	 - Índice UV 2	 - Rango: 250"
"Hora: 9:46:56	 - Temperatura: 32	 - Índice UV 2	 - Rango: 243"
"Hora: 9:46:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 245"
"Hora: 9:46:58	 - Temperatura: 32	 - Índice UV 2	 - Rango: 249"
"Hora: 9:46:59	 - Temperatura: 32	 - Índice UV 2	 - Rango: 247"
"Hora: 9:47:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 246"
"Hora: 9:47:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 247"
"Hora: 9:47:2	 - Temperatura: 32	 - Índice UV 2	 - Rango: 247"
"Hora: 9:47:3	 - Temperatura: 32	 - Índice UV 2	 - Rango: 234"
"Hora: 9:47:4	 - Temperatura: 32	 - Índice UV 2	 - Rango: 244"
"Hora: 9:47:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 249"
"Hora: 9:47:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 244"
"Hora: 9:47:7	 - Temperatura: 32	 - Índice UV 2	 - Rango: 258"
"Hora: 9:47:8	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:47:9	 - Temperatura: 32	 - Índice UV 2	 - Rango: 255"
"Hora: 9:47:10	 - Temperatura: 32	 - Índice UV 2	 - Rango: 246"
"Hora: 9:47:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 246"
"Hora: 9:47:12	 - Temperatura: 32	 - Índice UV 2	 - Rango: 243"
"Hora: 9:47:13	 - Temperatura: 32	 - Índice UV 0	 - Rango: 68"
"Hora: 9:47:14	 - Temperatura: 32	 - Índice UV 0	 - Rango: 97"
"Hora: 9:47:15	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:47:16	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:47:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 242"
"Hora: 9:47:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 198"
"Hora: 9:47:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:47:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 254"
"Hora: 9:47:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 251"
"Hora: 9:47:22	 - Temperatura: 32	 - Índice UV 2	 - Rango: 252"
"Hora: 9:47:23	 - Temperatura: 32	 - Índice UV 2	 - Rango: 263"
"Hora: 9:47:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:47:25	 - Temperatura: 32	 - Índice UV 0	 - Rango: 40"
"Hora: 9:47:26	 - Temperatura: 32	 - Índice UV 0	 - Rango: 48"
"Hora: 9:47:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:47:28	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:47:29	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:47:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:47:31	 - Temperatura: 32	 - Índice UV 2	 - Rango: 262"
"Hora: 9:47:32	 - Temperatura: 32	 - Índice UV 2	 - Rango: 230"
"Hora: 9:47:33	 - Temperatura: 32	 - Índice UV 1	 - Rango: 134"
"Hora: 9:47:34	 - Temperatura: 32	 - Índice UV 1	 - Rango: 143"
"Hora: 9:47:36	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:47:37	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:47:38	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:47:39	 - Temperatura: 32	 - Índice UV 1	 - Rango: 204"
"Hora: 9:47:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:47:41	 - Temperatura: 32	 - Índice UV 1	 - Rango: 158"
"Hora: 9:47:42	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:47:43	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:47:44	 - Temperatura: 32	 - Índice UV 2	 - Rango: 228"
"Hora: 9:47:45	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:47:46	 - Temperatura: 32	 - Índice UV 2	 - Rango: 211"
"Hora: 9:47:47	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:47:48	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:47:49	 - Temperatura: 32	 - Índice UV 2	 - Rango: 208"
"Hora: 9:47:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 232"
"Hora: 9:47:51	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:47:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 165"
"Hora: 9:47:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:47:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 239"
"Hora: 9:47:55	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:47:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 161"
"Hora: 9:47:57	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:47:58	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:47:59	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:48:0	 - Temperatura: 32	 - Índice UV 1	 - Rango: 153"
"Hora: 9:48:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:48:2	 - Temperatura: 32	 - Índice UV 1	 - Rango: 151"
"Hora: 9:48:3	 - Temperatura: 32	 - Índice UV 1	 - Rango: 186"
"Hora: 9:48:4	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:48:5	 - Temperatura: 32	 - Índice UV 1	 - Rango: 147"
"Hora: 9:48:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:48:7	 - Temperatura: 32	 - Índice UV 1	 - Rango: 198"
"Hora: 9:48:8	 - Temperatura: 32	 - Índice UV 1	 - Rango: 180"
"Hora: 9:48:9	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:48:10	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:48:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 225"
"Hora: 9:48:12	 - Temperatura: 32	 - Índice UV 2	 - Rango: 228"
"Hora: 9:48:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 192"
"Hora: 9:48:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 174"
"Hora: 9:48:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:48:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 166"
"Hora: 9:48:17	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:48:18	 - Temperatura: 32	 - Índice UV 2	 - Rango: 212"
"Hora: 9:48:19	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:48:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 237"
"Hora: 9:48:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 250"
"Hora: 9:48:22	 - Temperatura: 32	 - Índice UV 1	 - Rango: 191"
"Hora: 9:48:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:48:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:48:25	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:48:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 208"
"Hora: 9:48:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:48:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 242"
"Hora: 9:48:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 244"
"Hora: 9:48:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 256"
"Hora: 9:48:31	 - Temperatura: 32	 - Índice UV 2	 - Rango: 257"
"Hora: 9:48:32	 - Temperatura: 32	 - Índice UV 2	 - Rango: 258"
"Hora: 9:48:33	 - Temperatura: 32	 - Índice UV 2	 - Rango: 252"
"Hora: 9:48:34	 - Temperatura: 32	 - Índice UV 2	 - Rango: 266"
"Hora: 9:48:35	 - Temperatura: 32	 - Índice UV 2	 - Rango: 265"
"Hora: 9:48:36	 - Temperatura: 32	 - Índice UV 2	 - Rango: 269"
"Hora: 9:48:37	 - Temperatura: 32	 - Índice UV 2	 - Rango: 264"
"Hora: 9:48:38	 - Temperatura: 32	 - Índice UV 2	 - Rango: 240"
"Hora: 9:48:39	 - Temperatura: 32	 - Índice UV 2	 - Rango: 243"
"Hora: 9:48:40	 - Temperatura: 32	 - Índice UV 2	 - Rango: 253"
"Hora: 9:48:41	 - Temperatura: 32	 - Índice UV 2	 - Rango: 265"
"Hora: 9:48:42	 - Temperatura: 32	 - Índice UV 2	 - Rango: 263"
"Hora: 9:48:43	 - Temperatura: 32	 - Índice UV 2	 - Rango: 254"
"Hora: 9:48:44	 - Temperatura: 32	 - Índice UV 2	 - Rango: 247"
"Hora: 9:48:45	 - Temperatura: 32	 - Índice UV 2	 - Rango: 247"
"Hora: 9:48:46	 - Temperatura: 32	 - Índice UV 2	 - Rango: 237"
"Hora: 9:48:47	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:48:48	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:48:49	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:48:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:48:51	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:48:52	 - Temperatura: 32	 - Índice UV 2	 - Rango: 207"
"Hora: 9:48:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:48:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:48:55	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:48:56	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:48:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 232"
"Hora: 9:48:58	 - Temperatura: 32	 - Índice UV 2	 - Rango: 234"
"Hora: 9:48:59	 - Temperatura: 32	 - Índice UV 2	 - Rango: 228"
"Hora: 9:49:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:49:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:49:2	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:49:3	 - Temperatura: 32	 - Índice UV 0	 - Rango: 92"
"Hora: 9:49:4	 - Temperatura: 32	 - Índice UV 1	 - Rango: 145"
"Hora: 9:49:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:49:7	 - Temperatura: 32	 - Índice UV 1	 - Rango: 185"
"Hora: 9:49:7	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:49:9	 - Temperatura: 32	 - Índice UV 1	 - Rango: 184"
"Hora: 9:49:10	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:49:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 228"
"Hora: 9:49:12	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:49:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 123"
"Hora: 9:49:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 137"
"Hora: 9:49:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 149"
"Hora: 9:49:16	 - Temperatura: 32	 - Índice UV 2	 - Rango: 216"
"Hora: 9:49:17	 - Temperatura: 32	 - Índice UV 1	 - Rango: 150"
"Hora: 9:49:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 155"
"Hora: 9:49:19	 - Temperatura: 32	 - Índice UV 1	 - Rango: 122"
"Hora: 9:49:20	 - Temperatura: 32	 - Índice UV 1	 - Rango: 152"
"Hora: 9:49:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 128"
"Hora: 9:49:22	 - Temperatura: 32	 - Índice UV 0	 - Rango: 58"
"Hora: 9:49:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 126"
"Hora: 9:49:24	 - Temperatura: 32	 - Índice UV 1	 - Rango: 114"
"Hora: 9:49:25	 - Temperatura: 32	 - Índice UV 1	 - Rango: 122"
"Hora: 9:49:26	 - Temperatura: 32	 - Índice UV 1	 - Rango: 111"
"Hora: 9:49:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 126"
"Hora: 9:49:28	 - Temperatura: 32	 - Índice UV 0	 - Rango: 58"
"Hora: 9:49:29	 - Temperatura: 32	 - Índice UV 0	 - Rango: 64"
"Hora: 9:49:30	 - Temperatura: 32	 - Índice UV 0	 - Rango: 99"
"Hora: 9:49:31	 - Temperatura: 32	 - Índice UV 0	 - Rango: 90"
"Hora: 9:49:32	 - Temperatura: 32	 - Índice UV 1	 - Rango: 111"
"Hora: 9:49:33	 - Temperatura: 32	 - Índice UV 0	 - Rango: 64"
"Hora: 9:49:34	 - Temperatura: 32	 - Índice UV 0	 - Rango: 55"
"Hora: 9:49:35	 - Temperatura: 32	 - Índice UV 1	 - Rango: 149"
"Hora: 9:49:36	 - Temperatura: 32	 - Índice UV 1	 - Rango: 147"
"Hora: 9:49:37	 - Temperatura: 32	 - Índice UV 1	 - Rango: 136"
"Hora: 9:49:38	 - Temperatura: 32	 - Índice UV 1	 - Rango: 119"
"Hora: 9:49:39	 - Temperatura: 32	 - Índice UV 0	 - Rango: 47"
"Hora: 9:49:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 122"
"Hora: 9:49:41	 - Temperatura: 32	 - Índice UV 1	 - Rango: 140"
"Hora: 9:49:42	 - Temperatura: 32	 - Índice UV 0	 - Rango: 65"
"Hora: 9:49:43	 - Temperatura: 32	 - Índice UV 0	 - Rango: 88"
"Hora: 9:49:44	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:49:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:49:46	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:49:47	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:49:48	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:49:49	 - Temperatura: 32	 - Índice UV 2	 - Rango: 242"
"Hora: 9:49:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 239"
"Hora: 9:49:51	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:49:52	 - Temperatura: 32	 - Índice UV 2	 - Rango: 234"
"Hora: 9:49:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:49:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 248"
"Hora: 9:49:55	 - Temperatura: 32	 - Índice UV 0	 - Rango: 69"
"Hora: 9:49:56	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:49:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:49:58	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:49:59	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:50:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:50:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:50:2	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:50:3	 - Temperatura: 32	 - Índice UV 2	 - Rango: 230"
"Hora: 9:50:4	 - Temperatura: 32	 - Índice UV 2	 - Rango: 230"
"Hora: 9:50:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:50:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:50:7	 - Temperatura: 32	 - Índice UV 0	 - Rango: 92"
"Hora: 9:50:8	 - Temperatura: 32	 - Índice UV 2	 - Rango: 243"
"Hora: 9:50:9	 - Temperatura: 32	 - Índice UV 2	 - Rango: 243"
"Hora: 9:50:10	 - Temperatura: 32	 - Índice UV 1	 - Rango: 182"
"Hora: 9:50:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:50:12	 - Temperatura: 32	 - Índice UV 2	 - Rango: 225"
"Hora: 9:50:13	 - Temperatura: 32	 - Índice UV 2	 - Rango: 232"
"Hora: 9:50:14	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:50:15	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:50:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:50:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 216"
"Hora: 9:50:18	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:50:19	 - Temperatura: 32	 - Índice UV 1	 - Rango: 184"
"Hora: 9:50:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 214"
"Hora: 9:50:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:50:22	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:50:23	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:50:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 214"
"Hora: 9:50:25	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:50:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:50:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:50:28	 - Temperatura: 32	 - Índice UV 1	 - Rango: 122"
"Hora: 9:50:29	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:50:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:50:31	 - Temperatura: 32	 - Índice UV 2	 - Rango: 229"
"Hora: 9:50:32	 - Temperatura: 32	 - Índice UV 0	 - Rango: 96"
"Hora: 9:50:33	 - Temperatura: 32	 - Índice UV 0	 - Rango: 63"
"Hora: 9:50:34	 - Temperatura: 32	 - Índice UV 2	 - Rango: 212"
"Hora: 9:50:35	 - Temperatura: 32	 - Índice UV 0	 - Rango: 75"
"Hora: 9:50:36	 - Temperatura: 32	 - Índice UV 0	 - Rango: 99"
"Hora: 9:50:37	 - Temperatura: 32	 - Índice UV 0	 - Rango: 57"
"Hora: 9:50:38	 - Temperatura: 32	 - Índice UV 0	 - Rango: 64"
"Hora: 9:50:40	 - Temperatura: 32	 - Índice UV 0	 - Rango: 62"
"Hora: 9:50:41	 - Temperatura: 32	 - Índice UV 0	 - Rango: 97"
"Hora: 9:50:42	 - Temperatura: 32	 - Índice UV 0	 - Rango: 66"
"Hora: 9:50:43	 - Temperatura: 32	 - Índice UV 0	 - Rango: 73"
"Hora: 9:50:44	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:50:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 180"
"Hora: 9:50:46	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:50:47	 - Temperatura: 32	 - Índice UV 0	 - Rango: 67"
"Hora: 9:50:48	 - Temperatura: 32	 - Índice UV 1	 - Rango: 192"
"Hora: 9:50:49	 - Temperatura: 32	 - Índice UV 1	 - Rango: 191"
"Hora: 9:50:50	 - Temperatura: 32	 - Índice UV 0	 - Rango: 65"
"Hora: 9:50:51	 - Temperatura: 32	 - Índice UV 2	 - Rango: 210"
"Hora: 9:50:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 204"
"Hora: 9:50:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:50:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 205"
"Hora: 9:50:55	 - Temperatura: 32	 - Índice UV 2	 - Rango: 225"
"Hora: 9:50:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 196"
"Hora: 9:50:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:50:58	 - Temperatura: 32	 - Índice UV 1	 - Rango: 200"
"Hora: 9:50:59	 - Temperatura: 32	 - Índice UV 1	 - Rango: 171"
"Hora: 9:51:0	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:51:1	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:51:2	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:51:3	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:51:4	 - Temperatura: 32	 - Índice UV 1	 - Rango: 178"
"Hora: 9:51:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:51:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:51:7	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:51:8	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:51:9	 - Temperatura: 32	 - Índice UV 1	 - Rango: 183"
"Hora: 9:51:10	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:51:11	 - Temperatura: 32	 - Índice UV 1	 - Rango: 191"
"Hora: 9:51:12	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:51:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 179"
"Hora: 9:51:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 140"
